Feature,Median Difference
X350.117_2.379_3436,15915273.865
X368.127_2.057_3524,22140728.814999998
X175.001_0.32_3381,-97684359.69999999
X207.014_0.245_2349,-6095878.379999999
X284.098_0.413_2419,63463591.27
X302.207_2.288_4991,20503913.384999998
X200.068_0.252_2297,-8648371.77
X159.027_0.32_1836,-54721814.94
X635.139_0.367_9679,-9314124.015
X160.133_0.288_2231,-128561549.55000004
X192.014_0.255_4104,-4646841.66
X261.144_1.393_6362,-156232321.29000002
X298.127_0.653_5878,-17111330.990000002
X304.212_2.349_9716,-882025.3815000001
X247.128_0.56_5308,-12769667.321
X626.532_4.046_8166,-1707820.16435
X322.054_0.275_3451,15925460.685500002
X264.143_0.463_5367,-42070392.74
X357.277_2.855_4905,-5263481.6839
X268.139_0.395_4206,-9506298.568
X285.127_0.267_4161,-493497.51949999994
X473.237_2.233_4051,-2685541.1289
X1087.667_2.886_8284,552896.4327500002
X246.144_0.647_2608,11820200.608000001
X203.15_0.27_12123,-9045608.374000002
X689.47_3.864_9012,-221087.86430000002
X207.988_0.256_4108,-2344658.3320000004
X520.507_4.058_1762,-7970033.490000002
X307.082_0.385_3088,-57712907.80000001
X428.371_2.985_3385,-22871746.015
X188.175_0.266_5434,-4785317.093800001
X291.145_2.393_473,-5936183.308500001
X354.262_2.849_3643,4012844.9469000003
X222.988_0.243_3429,-1756494.2530000005
X415.192_0.3_9853,4168206.90645
X417.118_2.276_5286,4282759.105
X705.487_3.468_8122,-891220.0814999997
X565.793_2.337_3414,-3807199.5544999996
X527.157_0.276_2308,30907720.769999996
X613.157_0.381_3350,-25728676.25
